"Région","Plantes 
ornementale","Oignon","Aubergine 
amère","Aubergine 
douce","chou","Pomme de 
terre","Gombo","Piment","Fraise","Melon","Pastèque","Tomate","Carotte","Navet","Concombre"
"Région","","","","","","","","","","","","","","",""
"Dakar","30,1","35,9","32,2","28,8","33,3","18,8","","23,8  35,4  8,1  9,3  12,1  41,3  21,6  25,5  22,7","","","","","","",""
"Ziguinchor","14,7","57,5","58,7","34,2","35,4","13,7","","60,6  63,1  4,1  4,3","","","5,8","","63,2  23,0  26,4  28,2","",""
"Diourbel","23,1","34,6","27,8","23,5","24,0","11,3","","19,2  30,2  7,0  8,9  11,1  37,7  15,7  24,6  12,9","","","","","","",""
"Saint-Louis","11,8","44,9","19,7","16,9","22,4","4,9","","21,9  25,2  2,6  7,0  12,5  31,4  10,6  13,9  12,3","","","","","","",""
"Tambacounda","21,5","43,2","46,7","33,4","41,0","11,0","","50,5  54,0  5,7  7,4  12,0  44,6  21,9  21,0  24,2","","","","","","",""
"Kaolack","18,8","31,5","33,9","23,0","21,4","8,2","","31,1  41,8  5,1  6,3  11,7  47,6  13,1  24,4  20,8","","","","","","",""
"Thiès","16,2","54,9","43,9","35,8","45,7","33,1","","21,5  42,5  4,8  5,5","","","8,7","","51,6  29,5  33,4  19,8","",""
"Louga","12,9","55,6","41,6","31,5","42,8","34,4","","16,7  44,9  4,9  9,3  22,0  53,2  37,0  37,3  15,2","","","","","","",""
"Fatick","20,0","51,7","36,5","27,3","28,1","11,5","","30,7  48,9  3,6  4,4","","","8,1","52,4","9,4","","19,7  14,4"
"Kolda","12,3","26,5","35,5","15,9","16,0","8,5","","51,2  43,8  3,3  3,1","","","4,1","","33,4  10,8","7,6","14,5"
"Matam","18,6","36,5","26,9","21,0","35,9","6,9","","26,3  26,5  3,7  6,0  10,8  36,9  22,9  28,0  11,0","","","","","","",""
"Kaffrine","15,6","17,1","32,0","22,2","15,5","6,1","","27,8  37,3  4,6  4,8","","","9,5","29,8","9,8","","14,8  10,6"
"Kédougou","23,2","51,0","54,0","33,5","48,4","12,3","","66,7  60,3  6,6  8,8","","","8,4","","46,5  22,1  14,5  21,1","",""
"Sédhiou","14,1","51,5","45,6","21,7","21,1","8,4","","55,2  53,7  3,8  3,8","","","6,6","","47,4  16,0  14,5  16,9","",""
