"Age","Senegal","","Urbain","","Rural",""
"","TFA déclaré","TFA ajuste","TFA déclaré","TFA ajuste","TFA déclaré","TFA ajuste"
"15-19","0,051","0,052","0,030","0,033","0,077","0,099"
"20-24","0,147","0,151","0,105","0,115","0,204","0,262"
"25-29","0,180","0,185","0,143","0,156","0,233","0,300"
"30-34","0,173","0,178","0,146","0,160","0,214","0,275"
"35-39","0,143","0,147","0,122","0,133","0,174","0,224"
"40-44","0,084","0,086","0,069","0,075","0,108","0,138"
"45-49","0,044","0,045","0,032","0,035","0,062","0,080"
"ISF","4,1","4,2","3,2","3,5","5,4","5,4"
