"Groupes d'âges","SEXE MASCULIN","","","","","Total"
"","Monogame","Polygame 2 
épouses","Polygame 3 
épouses","Polygame 4 
épouses","Polygame 5 
épouses ou 
plus",""
"Moins de 19 ans","96,9","2,9","0,2","0,0","0,0","100,0"
"20-24 ans","94,8","4,4","0,2","0,3","0,2","100,0"
"25-29 ans","94,2","5,1","0,2","0,5","0,1","100,0"
"30-34 ans","91,6","7,5","0,3","0,6","0,0","100,0"
"35-39 ans","87,4","11,3","0,6","0,7","0,0","100,0"
"40-44 ans","81,4","16,6","1,2","0,8","0,0","100,0"
"45-49 ans","76,1","20,7","2,2","0,9","0,0","100,0"
"50-54 ans","71,4","23,9","3,5","1,1","0,1","100,0"
"55-59 ans","68,5","25,6","4,5","1,4","0,1","100,0"
"60-64 ans","64,5","27,5","6,1","1,8","0,1","100,0"
"65-69 ans","62,3","28,4","7,0","2,2","0,1","100,0"
"70-74 ans","60,3","28,8","8,0","2,7","0,1","100,0"
"75-79 ans","60,1","28,6","7,9","3,1","0,2","100,0"
"80-84 ans","59,7","28,4","8,2","3,4","0,2","100,0"
"85-89 ans","60,9","27,3","8,1","3,5","0,2","100,0"
"90-94 ans","59,9","27,6","8,5","3,8","0,3","100,0"
"95 ans et plus","63,6","24,3","8,2","3,5","0,4","100,0"
"TOTAL","79,5","16,9","2,4","1,1","0,1","100,0"
