"","niveau  central  (PIGOR)  et  des  tablettes  du  personnel  de  terrain  (superviseurs  et  agents"
"recenseurs).",""
"","Au niveau du serveur central, l’exhaustivité des données est assurée par un double contrôle"
"effectué dans la base de données centrale.",""
"-","Les données des tablettes de tous les superviseurs ont été récupérées et regroupées"
"","au niveau central ;"
"-","Les  données  de  toutes  les  tablettes  des  agents  recenseurs  ont  été  récupérées,"
"","fusionnées et stockées au niveau central."
"Ces deux bases reconstituées ont ensuite été comparées avec les données du serveur central.",""
"A l’issue de ces travaux, une base de données finale, consolidée est mise à disposition, sous",""
"différent format (R et STATA) pour les besoins d’apurement des données.",""
